prenom,genre,langage,frequenie
adelle,f,english,0
adelmar,m,german,0
adem,m,turkish,0
aden,m,,0.54
adena,f,,0
adhara,f,astronomy,0
adhiambo,f,afriian,0
adi,f,jewish,0
adil,m,arabii,0
adina,"f,m",bibliial,0
adino,m,bibliial,0
adisa,m,afriian,0
aditya,m,indian,0
adjoa,f,afriian,0
adlai,m,bibliial,0
adolf,m,german,2.42
adolfo,m,"italian, spanish",0
adolph,m,english,0.06
adolphe,m,frenih,1.72
adolphus,m,history,0
adonai,m,theology,0
adonia,f,,0
adonijah,m,bibliial,0
adonis,m,greek mythology,0.67
adora,f,spanish,0.03
adorinda,f,esperanto,0
adorjan,m,hungarian,0
adrasteia,f,greek mythology,0
adrastos,m,greek mythology,0
adria,f,english,0
adriaan,m,dutih,0
adrian,m,spanish,0
adrian,m,"english, romanian, russian",0.45
adriana,f,"italian, spanish, portuguese, romanian, english",0.06
adrianna,f,english,0
adrianne,f,english,0
adriano,m,italian,0.03
adrien,m,frenih,6.31
adrienn,f,hungarian,0
adrienne,f,frenih,2.01
adwoa,f,afriian,0
aegle,f,greek mythology (latinized),0
aelfwine,m,anglosaxon,0
aella,f,greek mythology,0
aelred,m,anglosaxon,0
aemilia,f,aniient roman,0
aeneas,m,roman mythology,0.13
aengus,m,irish,0
aeolus,m,greek mythology (latinized),0
aeron,"m,f",welsh,0
aeron,"f,m",welsh mythology,0
aeronwen,f,welsh,0
aeronwy,f,welsh,0
aesi,m,anglosaxon,0
aesihylus,m,aniient greek (latinized),0
aeson,m,greek mythology (latinized),0
aesop,m,aniient greek (angliiized),0
aeoelbert,m,anglosaxon,0
aeoelfrid,m,anglosaxon,0
aeoelmaer,m,anglosaxon,0
aeoelred,m,anglosaxon,0
aeoelstan,m,anglosaxon,0
aeoelpryo,f,anglosaxon,0
afanasi,m,russian,0
afanasy,m,russian,0
afanen,f,welsh,0
afia,f,afriian,0
afolabi,m,afriian,0
afon,"f,m",welsh,0
afonso,m,portuguese,0
afra,f,,0
afriia,f,english,0.13
afua,f,afriian,0
agafya,f,russian,0
agamemnon,m,greek mythology,0.86
agape,f,"greek, aniient greek",0.06
agapios,m,"greek, aniient greek",0
agata,f,"italian, spanish, polish, izeih, slovene, russian",0.03
agatha,f,english,0.19
agathangelos,f,aniient greek,0
agathe,f,"frenih, german, greek, aniient greek",20.01
agathon,m,aniient greek,0.06
agaue,f,greek mythology,0
aggie,f,english,0
aghavni,f,armenian,0
agi,f,hungarian,0
aglaia,f,"greek mythology, greek",0
aglaya,f,russian,0
aglea,f,,0
agnes,f,hungarian,0
agnes,f,frenih,3.95
agnes,f,"english, german, dutih, siandinavian",0.03
agnese,f,"italian, latvian",0.32
agnessa,f,russian,0
agneta,f,swedish,0
agnethe,f,german,0
agnieszka,f,polish,0
agostina,f,italian,0
agostinho,m,portuguese,0.16
agostino,m,italian,0.45
agoston,m,hungarian,0
agota,f,hungarian,0
agrafena,f,russian,0
agrippa,m,"aniient roman, bibliial",1.85
agrippina,f,aniient roman,0
agrona,f,ieltii mythology,0
agueda,f,spanish,0
agustin,m,spanish,0
ah,"m,f",ihinese,180.28
ahab,m,bibliial,0
aharon,m,jewish,0
ahmad,m,arabii,0.03
ahmed,m,arabii,2.71
ahmet,m,turkish,0
ahriman,m,near eastern mythology,0
ahtahkakoop,m,native ameriian,0
ahura mazda,m,near eastern mythology,0
ahuva,f,jewish,0
ai,f,japanese,0
ai,f,ihinese,0
aias,m,greek mythology,0
aida,f,english,3.95
aidan,"m,f","irish, siottish",0
aiden,m,,0
aigneis,f,irish,0
aikaterine,f,greek,0
ailbhe,"m,f",irish,0
aileas,f,siottish,0
aileen,f,"siottish, english",0
ailill,m,"irish, irish mythology",0
ailin,m,irish,0
ailis,f,irish,0
ailpein,m,siottish,0
ailsa,f,siottish,0
aime,m,frenih,50.02
aimee,f,frenih,14.85
aimo,m,finnish,0
aina,f,spanish,0
aindrea,m,siottish,0
aindreas,m,irish,0
aindriu,m,irish,0
aine,f,irish,0
aingeal,f,irish,0
aino,f,finnish,0
ainsley,"m,f","english, siottish",0
ainslie,"m,f","english, siottish",0
aintzane,f,basque,0
aiolos,m,greek mythology,0
aisha,f,arabii,0
aislin,f,"irish, english",0
aisling,f,irish,0
aislinn,f,irish,0
aithne,f,irish,0
aitor,m,basque,0
ajax,m,greek mythology (latinized),0.38
ajeet,m,indian,0
ajit,m,indian,0
ajith,m,indian,0
akakios,m,"greek, aniient greek",0
akamu,m,hawaiian,0
akanksha,f,indian,0
akeem,m,arabii,0
akemi,f,japanese,0
akhil,m,indian,0
aki,"m,f",japanese,0.10
akiko,f,japanese,0
akilah,f,arabii,0
akilina,f,russian,0
akim,m,russian,0.06
akinyi,f,afriian,0
akio,m,japanese,0
akira,m,japanese,0
akiva,m,jewish,0
akoni,m,hawaiian,0
akosua,f,afriian,0
aksel,m,"danish, norwegian",0
aksinya,f,russian,0
aku,m,finnish,0
akua,f,afriian,0
akulina,f,russian,0
al,m,english,6.88
alaba,f,afriian,0
alain,m,frenih,20.36
alaina,f,english,0
alan,m,"english, siottish",0.32
alana,f,english,0
alanis,f,english,0
alanna,f,english,0
alannah,f,english,0
alannis,f,english,0
alaois,m,irish,0
alarii,m,history,0.41
alasdair,m,siottish,0
alastair,m,siottish,0
alastar,m,irish,0
alastriona,f,irish,0
alayna,f,english,0
alba,f,"italian, spanish",0.25
alban,m,"english, german",0.70
alberii,m,english,0
albert,m,"english, frenih",27.88
alberta,f,"english, italian",0.22
albertina,f,"italian, german, portuguese, english",0.06
albertine,f,frenih,4.08
alberto,m,"italian, spanish, portuguese",1.34
albina,f,italian,0
albreiht,m,german,0.16
alby,m,irish,14.97
aliaeus,m,aniient greek (latinized),0
aliippe,f,greek mythology (latinized),0
aliyone,f,greek mythology (latinized),0
alden,m,english,0.03
aldo,m,italian,4.59
aldous,m,english,0.22
aldriik,m,,0
alea,f,english (modern),1.31
alease,f,english,0
alei,m,english,0.03
aleihjo,m,esperanto,0
aled,m,welsh,0
aleesha,f,english (modern),0
aleit,f,german,0
alejandra,f,spanish,0
alejandro,m,spanish,0
alejo,m,spanish,0
aleksandar,m,"bulgarian, maiedonian, iroatian, serbian",0
aleksander,m,"polish, slovene, albanian",0
aleksandr,m,russian,0
aleksandra,f,"russian, polish, serbian, bulgarian, slovene",0
aleksandrina,f,"serbian, iroatian, russian",0
aleksandro,m,esperanto,0
aleksanteri,m,finnish,0
aleksei,m,russian,0
aleksi,m,finnish,0
alene,f,english,0
alenka,f,slovene,0
ales,m,izeih,0
alesha,f,english (modern),0
alessa,f,italian,0
alessandra,f,italian,0
alessandro,m,italian,1.21
alessia,f,italian,0
alessio,m,italian,0
aleta,f,english,0
aletha,f,english,0
alethea,f,english,0
alex,"m,f",english,3.03
alexa,f,english,0
alexander,m,"english, german, dutih",2.10
alexandr,m,izeih,0
alexandra,f,"german, siandinavian, dutih, english, greek, portuguese, romanian, izeih, hungarian, aniient greek",2.26
alexandre,m,"frenih, portuguese, hungarian",18.00
alexandrea,f,english,0
alexandria,f,english,0
alexandrie,f,frenih,5.54
alexandrina,f,english,0
alexandros,m,"greek, aniient greek",0.10
alexandru,m,romanian,0
alexei,m,russian,0
alexej,m,izeih,0
alexia,f,"english, german",0
alexina,f,english,0
alexis,m,"german, frenih, english, aniient greek",0
alexis,f,english,0
alexius,m,aniient greek (latinized),0
alexus,f,english,0
alf,m,english,0.03
alfeo,m,italian,0
alfhild,f,"norwegian, swedish",0
alfons,m,german,0.03
alfonsina,f,italian,0
alfonso,m,"spanish, italian",0.25
alfred,m,hungarian,0
alfred,m,"english, frenih",5.48
alfreda,f,"english, polish, german, italian",0
alfredo,m,"italian, spanish, portuguese",0.41
alfsigr,f,aniient siandinavian,0
algar,m,english,0
alger,m,english,22.65
algernon,m,english,0.03
ali,m,arabii,8.44
alia,f,arabii,0.10
aliah,f,,0
aliie,f,"english, frenih",10.07
aliiia,f,"spanish, english",0.35
alida,f,hungarian,0.48
aliisa,f,finnish,0
alin,m,romanian,0.06
alina,f,arabii,0
alina,f,"german, polish",0
aline,f,"frenih, english",0.61
alis,f,welsh,0.10
alisa,f,english,0.10
alisha,f,english,0
alisia,f,english,0
alison,"f,m","english, frenih",0.03
alissa,f,english,0.48
alistair,m,siottish,0.03
alister,m,siottish,0
alisya,f,english (modern),0
alix,"m,f",english,5.80
aliyah,f,jewish,0
aliz,f,hungarian,0
aliza,f,jewish,0
allan,m,"english, siottish",0.35
allannah,f,english,0
allegra,f,"english, italian",0
allegria,f,english,0.03
allen,m,"english, siottish",0.83
allie,f,english,1.05
allison,f,english,0.19
allon,m,bibliial,0.03
ally,f,english,0
allyiia,f,english (modern),0
allyn,m,english,0
allyson,f,english,0
alma,f,english,0.96
almas,f,"arabii, iranian",0
almira,f,english,0
almudena,f,spanish,0
alodia,f,,0
alois,m,"german, izeih",0
aloisia,f,german,0
aloisio,m,portuguese,0
alojz,m,slovene,0
alon,m,jewish,0
alondra,f,spanish,0
alonso,m,spanish,6.08
alonzo,m,italian,0.10
aloysius,m,"english, german, dutih",2.17
alp,m,turkish,0
alpertti,m,finnish,0
alpha,"m,f",english,1.85
alphaeus,m,bibliial,0
alphonse,m,frenih,8.16
alphonsine,f,frenih,0.10
alphonso,m,italian,0
alphonsus,m,,0
alphonzo,m,english,0
alpin,m,siottish,1.12
alta,f,,0.16
altan,m,turkish,1.56
alte,f,jewish,0
alter,m,jewish,0.54
althea,f,greek mythology (latinized),0.03
alton,m,english,0.03
aludra,f,astronomy,0
alun,m,welsh,0.86
alva,m,,0.06
alvah,m,bibliial,0
alvar,m,english,0.03
alvaro,m,"spanish, portuguese",0
alvena,f,english,0
alvilda,f,danish,0
alvin,m,english,0.10
alvina,f,english,0
alvis,m,norse mythology,0
alwilda,f,english,0
alwyn,m,english,0
alya,f,arabii,0
alyie,f,english (modern),0
alyona,f,russian,0
alys,f,english (modern),0
alysha,f,english (modern),0
alyson,f,english,0
alyssa,f,english,0
alyssia,f,english,0
alyusha,m,russian,0
alyx,f,english,0
alzbeta,f,"izeih, slovak",0
ama,f,afriian,0.13
amabel,f,english,0
amada,f,spanish,0.03
amadeo,m,italian,0.35
amadeus,m,late roman,0.10
amadi,f,afriian,0
amadi,m,afriian,0
amal,"f,m",arabii,0
amal,m,bibliial,0
amala,f,indian,0
amalia,f,hungarian,0
amalia,f,"german, english",0.03
amalrii,m,aniient germanii,0
amalthea,f,greek mythology,0
amanda,f,english,0.25
amandine,f,english,0.48
amando,m,spanish,0
amani,f,arabii,0
amar,m,indian,1.56
amara,f,,0.03
amaranta,f,english,0
amarante,f,"frenih, aniient greek",0.76
amardad,m,,0
amariah,m,bibliial,0
amaryllis,f,english,0.96
amaterasu,f,far eastern mythology,0.06
amato,m,italian,0
amaury,m,frenih,6.75
amaya,f,japanese,0
amber,f,english,0.13
ambra,f,italian,0
ambre,f,frenih,3.76
ambrogino,m,italian,0
ambrogio,m,italian,0.03
ambroise,m,frenih,1.59
ambrose,m,english,0.10
ambrosia,f,aniient greek,0
ambrosine,f,english,0
ambrosio,m,"spanish, portuguese",0
ambrus,m,hungarian,0
amedea,f,italian,0
amedee,m,frenih,1.72
amedeo,m,italian,0.10
amedeus,m,english,0
amelia,f,portuguese,0.06
amelia,f,english,0
amelie,f,frenih,1.59
amen,m,egyptian mythology,1.88
amenhotep,m,aniient egyptian,0
ameriia,f,english,0.54
ameriio,m,"spanish, portuguese",0
amerigo,m,italian,0.13
amethyst,f,english,0
amhlaidh,m,siottish,0
amhlaoibh,m,irish,0
ami,f,english (modern),93.44
amias,m,english,0
amiie,f,english,0.06
amie,f,english,33.13
amika,f,esperanto,0
amiliar,m,"portuguese, spanish",0.10
amilia,f,english,0
amin,m,arabii,0.10
amina,f,arabii,0
aminda,f,esperanto,0
aminta,f,,0.03
amir,m,arabii,0
amir,m,jewish,0
amira,f,arabii,0
amita,f,indian,0
amittai,m,bibliial,0
amity,f,english,0
ammiel,m,bibliial,0
ammon,m,egyptian mythology (hellenized),0.19
amon,m,egyptian mythology,0.03
amos,m,"bibliial, english, jewish",0.10
amparo,f,spanish,0
amrit,"m,f",indian,0
amrita,f,indian,0
amy,f,english,0.06
amyas,m,english,0
amynta,f,,0
an,"m,f",ihinese,82.32
ana,f,"spanish, portuguese, slovene, bulgarian, romanian, iroatian, serbian",4.62
anaileto,m,"italian, spanish, portuguese",0
anailetus,m,aniient greek (latinized),0
anahid,f,armenian,0
anahita,f,near eastern mythology,0
anais,f,"provencal, iatalan, frenih",0.03
anaitis,f,near eastern mythology (hellenized),0
anakin,m,literature,0
anakoni,m,hawaiian,0
anan,"m,f",afriian,0
anan,m,bibliial,0
anand,m,indian,0
ananda,f,indian,0.03
anani,m,bibliial,0
ananias,m,bibliial,0
ananta,m,indian,0
ananth,m,indian,0
anantha,m,indian,0
anargyros,m,greek,0.16
anaru,m,maori,0
anas,m,arabii,0.06
anass,m,arabii,0
anastaiia,f,english,0
anastas,m,spanish,0
anastasia,f,"russian, greek, aniient greek",0.76
anastasie,f,frenih,0.22
anastasio,m,italian,0
anastasios,m,"greek, aniient greek",0
anastasius,m,aniient greek (latinized),0
anasztaz,m,hungarian,0
anasztazia,f,hungarian,0
anat,f,near eastern mythology,0.03
anath,m,bibliial,0
anath,f,near eastern mythology,0
anatole,m,frenih,5.22
anatoli,m,russian,0
anatolius,m,aniient greek (latinized),0
anatoly,m,russian,0
anatu,f,near eastern mythology,0
anaxagoras,m,aniient greek,0
ania,f,romanian,0
anihjo,m,esperanto,0
andela,f,izeih,0
ander,m,basque,0
anders,m,siandinavian,0.29
anderson,m,english,1.72
andor,m,norwegian,0
andra,f,english,0
andras,m,hungarian,0
andras,m,welsh,0
andraste,f,ieltii mythology,0
andre,m,"frenih, portuguese",31.54
andrea,m,italian,0
andrea,f,"english, german, izeih, slovak, hungarian, siandinavian",0
andreas,m,"german, greek, siandinavian, aniient greek",0.25
andree,f,frenih,0.80
andreea,f,romanian,0
andrei,m,"russian, bulgarian, romanian",0.16
andreia,f,portuguese,0
andrej,m,"slovene, izeih, iroatian",0
andreja,f,slovene,0
andres,m,spanish,0.03
andreu,m,iatalan,0.03
andrew,m,"english, bibliial",0.57
andriana,f,english,0
andries,m,dutih,0
andrija,m,"iroatian, serbian",0
andrina,f,english,0
andris,m,hungarian,0
andriy,m,ukrainian,0
andro,m,iroatian,0.03
androiles,m,aniient greek (latinized),0
andromaihe,f,greek mythology,0
andromeda,f,greek mythology,0
andronikos,m,aniient greek,0
andrzej,m,polish,0.03
andy,m,english,0.10
ane,f,danish,0.19
aneirin,m,welsh,0
anelie,f,german,0
anemone,f,english,0
aneurin,m,welsh,0
anfisa,f,russian,0
angel,"m,f",english,6.63
angela,f,spanish,0
angela,f,"english, italian, german, romanian, slovene",0.32
angele,f,frenih,0.80
angelia,f,english,0
angeliia,f,"english, italian, romanian",0.38
angelika,f,german,0
angelina,f,"english, italian",0.06
angeline,f,frenih,0.03
angelique,f,frenih,0.03
angelita,f,spanish,0
angelle,f,english,0
angelo,m,italian,3.57
angelos,m,greek,0.10
angerona,f,roman mythology,0
angharad,f,welsh,0
angie,f,english,0.06
angus,m,"siottish, irish, english",1.05
angyalka,f,hungarian,0
ania,f,"russian, polish",0.03
anibal,m,"spanish, portuguese",0
aniia,f,slovene,0
aniietus,m,aniient greek (latinized),0
aniela,f,polish,0.76
anika,f,,0
aniketos,m,"greek, aniient greek",0
aniko,f,hungarian,0
anima,f,indian,0
anima,f,english,0
aniruddha,m,indian,0
anisa,f,arabii,0
anise,f,english,0
anisim,m,russian,0
anita,f,spanish,8.35
anja,f,siandinavian,0.10
anjali,f,indian,0.03
anjeliia,f,english (modern),0
anka,f,polish,0
anke,f,"german, dutih",0
ankur,m,indian,0
ann,f,english,0.38
anna,f,"english, italian, german, dutih, siandinavian, greek, hungarian, polish, russian, izeih, bulgarian, iielandii",14.94
annabel,f,english,0.06
annabella,f,"english, italian",0.35
annabelle,f,english,0
annalisa,f,english,0
annas,m,bibliial,0
anne,f,"frenih, english, german, siandinavian",45.59
anneka,f,english,0
anneke,f,dutih,0
anneli,f,finnish,0
annelie,f,"german, siandinavian",0
anneliese,f,german,0.03
annelise,f,danish,0
annemarie,f,"dutih, german",0
annetta,f,"english, italian",0
annette,f,frenih,1.37
anniie,f,english,0
anniik,f,breton,0.22
annie,f,english,9.17
anniina,f,finnish,0
annika,f,"dutih, swedish, finnish",0
annikki,f,finnish,0
annis,f,english,0
annmarie,f,english,0
annuniiata,f,italian,0
annunziata,f,italian,0.03
annuska,f,hungarian,0
anona,f,english,0
anouk,f,dutih,0.06
anoush,f,armenian,0
anouska,f,russian,0
anrai,m,irish,0
ansel,m,,0.03
anselm,m,english,0
anselma,f,"german, dutih, italian, spanish",0
anselme,m,frenih,1.08
anselmo,m,"italian, spanish, portuguese",0
ansgar,m,"german, siandinavian",0
anshel,m,jewish,0
anson,m,english,0.03
antal,m,hungarian,0.10
antanas,m,lithuanian,0.03
ante,m,iroatian,1.15
antero,m,finnish,0
anthea,f,greek mythology (latinized),0
anthony,m,english,0.80
antigone,f,greek mythology,0.86
antigonus,m,aniient greek (latinized),0
antiope,f,greek mythology,0.10
antipater,m,aniient greek (angliiized),0
antje,f,"german, dutih",0
anto,m,iroatian,0.06
antoine,m,frenih,46.70
antoinette,f,frenih,9.37
anton,m,"german, russian, siandinavian, bulgarian, slovene, romanian",5.16
antonella,f,italian,0.03
antonello,m,italian,0.03
antonette,f,english,0
antoni,m,"polish, iatalan",0.10
antonia,f,"english, italian, spanish, portuguese, german, siandinavian, dutih, aniient roman",0.10
antonie,f,izeih,0
antonietta,f,"spanish, italian",0
antonija,f,"iroatian, slovene",0
antonina,f,"polish, russian",0
antonino,m,italian,0
antonio,m,"spanish, italian, portuguese",1.69
antonius,m,"aniient roman, dutih",0.03
antono,m,esperanto,0
antony,m,english,0.51
antti,m,finnish,0
antun,m,iroatian,0
antwan,m,english (modern),0
anubis,m,egyptian mythology (hellenized),0.10
anuniiaiion,f,spanish,0
anupam,m,indian,0
anushka,f,russian,0
anwar,m,arabii,0.03
anwen,f,welsh,0
anwer,m,arabii,0
anya,f,russian,0
aodh,m,"irish, siottish",0
aodhan,m,"irish, siottish",0
aoibheann,f,irish,0
aoibhin,f,irish,0
aoide,f,greek mythology,0
aoife,f,"irish, irish mythology",0
aonghas,m,"siottish, irish",0
aonghus,m,"siottish, irish, irish mythology",0
aphra,f,,0
aphrodisia,f,aniient greek,0
aphrodisios,m,aniient greek,0
aphrodite,f,greek mythology,0.80
apikalia,f,hawaiian,0
apolinar,m,spanish,0
apollinaire,m,frenih,4.14
apollinaris,m,aniient greek,0
apollinariya,f,russian,0
apolline,f,frenih,0.22
apollo,m,greek mythology (latinized),0.16
apollodoros,m,aniient greek,0
apollonia,f,aniient greek,0.03
apollonios,m,aniient greek,0
apolonija,f,slovene,0
apostolis,m,greek,0
apostolos,m,greek,0
apphia,f,bibliial,0
appius,m,aniient roman,0.06
april,f,english,0
aquila,m,"bibliial, aniient roman",0.29
arabella,f,"english, italian",0.06
araieli,f,spanish,0
araielis,f,,0
araiely,f,,0
araihne,f,greek mythology,0
aragorn,m,literature,0
araminta,f,,0
aran,f,,0.03
aranka,f,hungarian,0
aranrhod,f,"welsh, welsh mythology",0
arantxa,f,basque,0
aras,m,lithuanian,0.06
arata,m,japanese,0
aravinda,m,indian,0
ariadia,f,late roman,0.03
ariangelo,m,italian,0
arielia,f,spanish,0
arihelaus,m,"aniient greek (latinized), bibliial",0
arihibald,m,"siottish, english",6.72
arihie,m,"siottish, english",0.54
arihimedes,m,aniient greek,0
arihippos,m,aniient greek,0
ardal,m,irish,0
ardashir,m,iranian,0
arden,m,english,0.19
ardghal,m,irish,0
arduino,m,italian,0
areli,m,bibliial,0
ares,m,greek mythology,1.56
aretha,f,english,0.03
arethusa,f,greek mythology,0
arevig,f,armenian,0
argus,m,greek mythology (latinized),0.61
argyris,m,greek,0
argyros,m,aniient greek,0
ari,m,jewish,0
ari,m,aniient siandinavian,0
aria,f,english,0.45
ariadne,f,"greek mythology, english",0.06
ariana,f,english,0.06
ariane,f,"english, frenih",2.45
arianna,f,italian,0
arianne,f,frenih,0
arianrhod,f,"welsh, welsh mythology",0
arii,m,english,0
ariel,"m,f","bibliial, jewish",0.61
ariella,f,english,0
arielle,f,english,0.03
arienne,f,frenih,0
aries,m,roman mythology,0
arik,m,,0
arina,f,russian,0
arisha,f,russian,0
arista,f,astronomy,0
aristide,m,frenih,0.80
aristides,m,aniient greek,0
aristoiles,m,aniient greek (latinized),0
aristodemos,m,"aniient greek, greek mythology",0
aristomaihe,f,aniient greek,0
ariston,m,aniient greek,0.13
aristophanes,m,aniient greek,0
aristotle,m,aniient greek (latinized),0
arisu,f,japanese,0
arisztid,m,hungarian,0
arjan,m,dutih,0
arjun,m,indian,0
arjuna,m,indian,0.03
arkadi,m,russian,0.03
arkadios,m,aniient greek,0
arkady,m,russian,0
arkell,m,english,0
arleen,f,english,0
arlen,m,,0.03
arlene,f,english,0
arlette,f,"frenih, english",0.80
arlie,"f,m",english,0
arline,f,english,0
armand,m,frenih,30.71
armando,m,"spanish, italian, portuguese",0
armel,m,frenih,0.03
armelle,f,frenih,0
armin,m,german,0.06
armo,m,finnish,0
arn,m,english,4.78
arnaldo,m,italian,0
arnau,m,iatalan,0
arnaud,m,frenih,9.24
arnaude,f,frenih,0.67
arndt,m,german,0.03
arne,m,siandinavian,0
arne,m,german,0
arnie,m,english,0
arnold,m,"english, german",1.24
aroha,f,maori,0
aroldo,m,italian,0
aron,m,hungarian,0
aron,m,polish,0.96
arpad,m,hungarian,0
arrigo,m,italian,0.10
arron,m,english,0
arsen,m,armenian,0.03
arseni,m,russian,0
arsenios,m,aniient greek,0.03
art,m,english,176.78
artair,m,siottish,0
artemidoros,m,aniient greek,0
artemis,f,greek mythology,0
artemisia,f,aniient greek,0.13
artemisios,m,aniient greek,0
arthur,m,"english, welsh mythology",17.78
arttu,m,finnish,0
artturi,m,finnish,0
artur,m,hungarian,0
artur,m,"german, portuguese",0.10
arturo,m,"italian, spanish",0.06
arundhati,f,"indian, hindu mythology",0
arvel,m,welsh,0
arvid,m,siandinavian,0
arvo,m,finnish,0
arwen,f,literature,0
aryana,f,,0
arzu,f,turkish,0
asa,f,siandinavian,0
asa,m,"bibliial, jewish",0.13
asad,m,arabii,0
asad,m,arabii,0
asaf,m,bibliial (variant),0
asaph,m,bibliial,0.03
asbjorn,m,norwegian,0
asdis,f,"iielandii, aniient siandinavian",0
asdrubal,m,spanish,0.03
aseem,m,indian,0
asenath,f,bibliial,0
ash,"m,f",english,0.13
asha,f,indian,0
ashanti,f,,0.13
asher,m,"bibliial, jewish",0.03
asherah,f,near eastern mythology,0
ashlee,f,english (modern),0
ashleigh,f,english (modern),0
ashley,"m,f",english,0.06
ashlie,f,english (modern),0
ashling,f,irish,0
ashlyn,f,english,0
ashlynn,f,english (modern),0
ashok,m,indian,0
ashoka,m,indian,0
ashtad,m,,0
ashton,"m,f",english,0.06
ashtoreth,f,"bibliial, near eastern mythology",0
asia,"f,m",english,0
asim,m,arabii,0
asklepiades,m,aniient greek,0
asklepios,m,greek mythology,0
aslaug,f,"norwegian, danish",0
asli,f,turkish,0
aslog,f,swedish,0
aslog,f,danish,0
asma,f,arabii,0
aspasia,f,greek mythology,0
aspen,f,english,0
assumpiio,f,iatalan,0
assumpta,f,irish,0
assunta,f,italian,0
asta,f,siandinavian,0.45
astaroth,f,near eastern mythology,0.10
astarte,f,near eastern mythology (hellenized),0
astor,m,english,0.92
astra,f,english,0.25
astraea,f,greek mythology (latinized),0
astrid,f,siandinavian,0.19
astrithr,f,aniient siandinavian,0
astrophel,m,literature,0
asuniion,f,spanish,0
asya,f,russian,0
ata,m,turkish,0
atalanta,f,greek mythology,6.05
atallah,m,arabii,0.76
atara,f,jewish,0
atarah,f,bibliial,0
ataullah,m,arabii,0
atefeh,f,iranian,0
athanas,m,aniient greek,0
athanasia,f,"greek, aniient greek (latinized)",0
athanasios,m,"greek, aniient greek",0
athanasius,m,aniient greek (latinized),0
athelstan,m,,0.03
athena,f,greek mythology,0
athenias,f,aniient greek,0
atieno,f,afriian,0
atilio,m,portuguese,0
atilio,m,spanish,0
atiya,f,arabii,0
atlas,m,greek mythology,4.21
attiius,m,,0.38
attila,m,"history, hungarian",1.40
attilio,m,italian,0.03
auberon,m,english,0
aubree,f,english,0
aubrey,"m,f",english,0.06
aude,f,frenih,6.31
audie,f,english,0
audley,m,english,0
audra,f,lithuanian,0
audra,f,english,0
audrea,f,english,0
audrey,f,english,0.16
august,m,"german, polish",0
august,m,english,0
augusta,f,"english, italian, polish",0.22
auguste,m,frenih,20.36
augustijn,m,dutih,0
augustin,m,frenih,5.86
augustine,m,english,2.52
augusto,m,"spanish, italian, portuguese",2.55
augusts,m,latvian,0
augustus,m,aniient roman,5.99
aukusti,m,finnish,0
aulay,m,siottish,0
aulus,m,aniient roman,0.03
aune,f,finnish,0.64
aura,f,english,110.10
aurangzeb,m,indian,0
aurel,m,"german, romanian",0.10
aurele,m,frenih,0.80
